bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,latitude,longitude,distance,city,dist,type
3,1,1,90,整租·翰香苑 3室1厅 南,翰香苑,江宁大学城,3室1厅1卫,2800,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2271449758650875904.html,元/月,31.893531,118.902664,,南京,江宁,整租
3,2,2,107,整租·中锐星湖名邸 3室2厅 南/北,中锐星湖名邸,百家湖,3室2厅2卫,5800,近地铁 双卫生间 随时看房,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2255818470812303360.html,元/月,31.933643,118.819186,336.0,南京,江宁,整租
4,2,3,199,整租·翠屏清华园 4室2厅 南,翠屏清华园,将军大道,4室2厅3卫,7500,近地铁,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2114190416835248128.html,元/月,31.949955,118.784889,255.0,南京,雨花台,整租
4,1,1,20,合租·网板路2号 4居室 南卧,网板路2号,迈皋桥,4室1厅1卫,1450,公寓 月租 精装 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2291227784866955264.html,元/月,32.110248,118.832427,,南京,栖霞,合租
3,2,1,87,整租·佳兆业城市广场二期 3室2厅 南,佳兆业城市广场二期,奥体,3室2厅1卫,4800,随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2224515089036484608.html,元/月,31.976726862677,118.7108542557,,南京,建业,整租
5,1,1,20,合租·香山美墅 5居室 南卧,香山美墅,将军大道,5室1厅1卫,1480,公寓 独立卫生间 精装 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2306294502467305472.html,元/月,31.95213,118.781008,,南京,江宁,合租
4,1,1,20,合租·明发新城中心 4居室 南卧,明发新城中心,江浦街道,4室1厅1卫,950,公寓 近地铁 精装 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2315736320024256512.html,元/月,32.071626,118.656127,894.0,南京,浦口,合租
1,1,1,42,整租·中海凯旋门 1室1厅 南,中海凯旋门,福建路,1室1厅1卫,2600,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2267301402672381952.html,元/月,32.091399453839,118.76104250359,,南京,鼓楼,整租
1,1,1,84,整租·百家湖艺术公馆 1室1厅 南,百家湖艺术公馆,百家湖,1室1厅1卫,4500,近地铁 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2315895391679692800.html,元/月,31.937436,118.812636,704.0,南京,江宁,整租
3,1,1,89,整租·华润国际社区 3室1厅 南,华润国际社区,顶山街道,3室1厅1卫,1800,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2122944894367973376.html,元/月,32.094421,118.695164,,南京,浦口,整租
4,1,1,15,合租·云锦美地丽云居 4居室 南卧,云锦美地丽云居,南湖,4室1厅1卫,1400,公寓 精装 新上 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2322308315729895424.html,元/月,32.028406,118.772124,,南京,建业,合租
2,2,1,116,整租·郑和国际广场 2室2厅 南,郑和国际广场,草场门大街,2室2厅1卫,6700,近地铁,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2034729784961417216.html,元/月,32.066667,118.745072,319.0,南京,鼓楼,整租
3,1,1,12,合租·迈皋桥街79号 3居室 北卧,迈皋桥街79号,迈皋桥,3室1厅1卫,850,公寓 月租 近地铁 精装 随时看房,北,https://m.lianjia.com/chuzu/nj/zufang/NJ2308395426791309312.html,元/月,32.109388,118.816263,92.0,南京,玄武,合租
2,1,1,12,整租·人和苑 2室1厅 南/北,人和苑,桥北,2室1厅1卫,700,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2296296246899916800.html,元/月,32.116822315254,118.70945271315,,南京,浦口,整租
3,2,2,118,整租·万达茂 3室2厅 南/北,万达茂,仙林,3室2厅2卫,5000,近地铁 双卫生间 新上,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2323855391647612928.html,元/月,32.126412,118.994444,261.0,南京,栖霞,整租
2,1,1,70,整租·明发新城中心 2室1厅 南,明发新城中心,江浦街道,2室1厅1卫,1500,近地铁,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2054052665507725312.html,元/月,32.071121522013,118.65585769445,353.0,南京,浦口,整租
3,2,1,115,整租·双和园 3室2厅 南,双和园,奥体,3室2厅1卫,5800,近地铁,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2269295950377779200.html,元/月,31.987717,118.72964,175.0,南京,建业,整租
